prefix_36	short_name_36	name_36
00:50:C2:0B:A0:00/36	Pro-Acti	Pro-Active
00:50:C2:0B:B0:00/36	Mazet	MAZet GmbH
00:50:C2:0B:C0:00/36	Infolink	Infolink Software AG
00:50:C2:0B:D0:00/36	Tattile
00:50:C2:0B:E0:00/36	StellaEl	Stella Electronics & Tagging
00:50:C2:0B:F0:00/36	Private
00:50:C2:0C:00:00/36	Imigix	Imigix Ltd.
00:50:C2:0C:10:00/36	Casabyte
00:50:C2:0C:20:00/36	AlchemyS	Alchemy Semiconductor, Inc.
00:50:C2:0C:30:00/36	Tonbu	Tonbu, Inc.
00:50:C2:0C:40:00/36	Interepo	InterEpoch Technology,INC.
00:50:C2:0C:50:00/36	SaiaBurg	SAIA Burgess Controls AG
00:50:C2:0C:60:00/36	Advanced	Advanced Medical Information Technologies, Inc.
00:50:C2:0C:70:00/36	Transcom	TransComm Technology System, Inc.
00:50:C2:0C:80:00/36	Trane	The Trane Company
00:50:C2:0C:90:00/36	DssNetwo	DSS Networks, Inc.
00:50:C2:0C:A0:00/36	JDRichar	J D Richards
00:50:C2:0C:B0:00/36	Studiel
00:50:C2:0C:C0:00/36	Alphamed	AlphaMedia Co., Ltd
00:50:C2:0C:D0:00/36	LinetOy	Linet Oy
00:50:C2:0C:E0:00/36	RflElect	RFL Electronics, Inc.
00:50:C2:0C:F0:00/36	Pcsc
00:50:C2:0D:00:00/36	Telefran	Telefrang AB
00:50:C2:0D:10:00/36	Renaissa	Renaissance Networking, Inc.
00:50:C2:0D:20:00/36	RealWorl	Real World Computing Partnership
00:50:C2:0D:30:00/36	LakeTech	Lake Technology, Ltd.
00:50:C2:0D:40:00/36	Palm	Palm, Inc.
00:50:C2:0D:50:00/36	Zelax
00:50:C2:0D:60:00/36	IncoStar	Inco Startec GmbH
00:50:C2:0D:70:00/36	SummitAv	Summit Avionics, Inc.
00:50:C2:0D:80:00/36	Charlott	Charlotte's Web Networks
00:50:C2:0D:90:00/36	LoeweOpt	Loewe Opta GmbH
00:50:C2:0D:A0:00/36	MotionAn	Motion Analysis Corp.
00:50:C2:0D:B0:00/36	Cyberex
00:50:C2:0D:C0:00/36	Elbit	Elbit Systems Ltd.
00:50:C2:0D:D0:00/36	Interisa	Interisa Electronica, S.A.
